,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CPT1C,486.0411917467542,1.1874173741849716,0.35431204526982607,3.35133222264768,0.0008042375566407544,0.04282849394234365
NPR1,138.94953597634273,1.3288707496405174,0.39500270788818687,3.3642066828986903,0.0007676403264773278,0.04178043773490925
KCNK9,27.472491611703642,2.393503070658065,0.40719884914213084,5.877971108466037,4.153253826986401e-09,3.561808032002851e-06
COL22A1,125.7480496665455,2.363986264792947,0.5191838478336271,4.553273902216018,5.2817432650107915e-06,0.001124798627799043
SPRR1B,102.45904329147173,-1.919981947903404,0.5833338036765733,-3.2913949711166217,0.0009969183504073712,0.04836883207458149
CT55,10.553514564300995,2.0376214418312473,0.5156891569549932,3.9512590372519325,7.774112203109396e-05,0.008362045909046245
TMEM266,42.617973833996246,-0.8194774960348844,0.2253686700477901,-3.6361642275348727,0.00027672794503803426,0.02011956572572713
SYAP1,5163.264670962921,0.3357391238641384,0.09694308324755055,3.4632602205028538,0.0005336720074681553,0.032011240962139954
TM4SF4,125.36577022749701,2.7313721328626466,0.5179062919779943,5.273873237629447,1.3357418670018527e-07,5.9696373495543364e-05
NSG2,28.84963650916501,1.8299596327468135,0.43257069876802756,4.230429009543609,2.3324604630416547e-05,0.003410659122247684
KRT4,2579.099844148296,-2.456965093525208,0.5050079431116876,-4.8652008884973625,1.1434061078407068e-06,0.00033907868418592025
SGCD,5.673045776422918,1.6126265750657653,0.46046071543486394,3.5022022965472392,0.0004614291251236264,0.028822062144286984
LMOD2,3.7809179404848914,1.4085109185384306,0.36911929415908495,3.815869126395173,0.00013570442098209388,0.012445193590123759
S1PR1,651.8066670693588,2.0953643152077284,0.4803819580826293,4.361871381621102,1.2895467445619905e-05,0.002165005701147964
ALK,45.55352708879098,-1.4251330142999905,0.38210304214189256,-3.729708631240817,0.00019170132025980827,0.01600756471885257
KCND3,25.88944502411732,1.352012756172362,0.41006424205171443,3.297075476290507,0.0009769724329108374,0.04776627468211677
APLN,165.39013816480934,1.318888172471964,0.35131777317860974,3.7541174206448193,0.00017395331013299924,0.014877931223261991
DSEL,1463.9759678279852,-1.1867403239986627,0.3376560135299291,-3.514642939695409,0.0004403456196025238,0.028170578337918712
RXFP1,4.003510453001594,2.033389709577311,0.5482665104999395,3.708761470262253,0.0002082755152562282,0.016773579630952735
FGG,204.6360996964012,4.267628890008727,0.4569019538692901,9.340360341793604,9.60068119763162e-21,7.615980377051223e-17
FGA,843.0264993093662,4.992787445721249,0.5684322754583024,8.783434124488762,1.5855776267505164e-18,7.187423382060092e-15
FGB,305.5889808460779,2.4572493100205755,0.5579292535677994,4.4042309922040515,1.0615978109625753e-05,0.0018714200077585264
GPR34,4.198016156691388,1.2434153449836356,0.29545753987419876,4.20844005373179,2.5713972552867883e-05,0.0036753606444822106
SYCE1,21.45869233831772,2.4187659833630186,0.40369247024466137,5.99160539679401,2.0777959584646004e-09,1.939133634060007e-06
PRND,2.00053807671291,2.813620057952771,0.7923951267341327,3.5507791037902314,0.0003840926414556939,0.02593115660857579
MAL,30.23243875444185,-2.8791133181861004,0.47211248094402725,-6.098363068964157,1.0716013555693586e-09,1.0625932066741037e-06
CLEC7A,86.27336422624283,-1.8414642113735262,0.490174577196544,-3.7567517717981507,0.0001721330851289171,0.01476204033574505
COPS9,1914.6684624799748,0.30519731624548807,0.09246580603075615,3.300650579350087,0.0009646093536177723,0.04745429364286129
ZMAT3,2114.4102849438327,0.5646227954075922,0.15355760383157058,3.676944555783104,0.000236044319394097,0.018312768456464772
ZBTB8OSP2,8.765788202272299,1.009506529659359,0.24440181457278193,4.1305197812217225,3.619439478837773e-05,0.004706903037008253
LRRN3,10.97807357406195,1.3187348813436555,0.28636177653725786,4.605135843512543,4.121966990672368e-06,0.0009477835839204705
C11orf86,112.81783838456244,1.7613580297650118,0.4615217166424317,3.8164141929850737,0.00013540513383182432,0.012445193590123759
INSM1,370.17911295558457,3.2028838566254083,0.6687674943779716,4.789233752463475,1.6741936851909986e-06,0.00046194643325909193
